,center,trials_list,count,End,Not Yet recruiting,Recruiting,position,lat,long
0,Research Site Villejuif Cedex 94805,"['NCT03530397', 'NCT04385368', 'NCT04493853', 'NCT04494425', 'NCT04504669', 'NCT04522323', 'NCT04538742', 'NCT04550260', 'NCT04556773', 'NCT04590963', 'NCT04642469', 'NCT04711252', 'NCT04931654', 'NCT04999969', 'NCT05048797']",15,['NCT04590963'],"['NCT04522323', 'NCT04642469', 'NCT04999969', 'NCT05048797']","['NCT03530397', 'NCT04385368', 'NCT04493853', 'NCT04494425', 'NCT04504669', 'NCT04538742', 'NCT04550260', 'NCT04556773', 'NCT04711252', 'NCT04931654']","48.792716, 2.359279",48.792716,2.359279
1,Research Site Saint-Herblain 44805,"['NCT04642469', 'NCT04862663', 'NCT03737643', 'NCT04494425', 'NCT04964934', 'NCT02264678', 'NCT03997123', 'NCT04385368', 'NCT04590963', 'NCT04784715']",10,"['NCT03737643', 'NCT02264678', 'NCT03997123', 'NCT04590963']",['NCT04784715'],"['NCT04642469', 'NCT04862663', 'NCT04494425', 'NCT04964934', 'NCT04385368']","47.210335, -1.651444",47.210335,-1.651444
2,Research Site Bordeaux 33076,"['NCT02264678', 'NCT03334617', 'NCT03737643', 'NCT04493853', 'NCT04564027', 'NCT04639219', 'NCT04999969', 'NCT04999969']",7,['NCT03737643'],['NCT04999969'],"['NCT02264678', 'NCT03334617', 'NCT04493853', 'NCT04564027', 'NCT04639219', 'NCT04999969']","44.837789, -0.57918",44.837789,-0.57918
3,Research Site Lyon Cedex 08 69373,"['NCT03737643', 'NCT03800134', 'NCT03997123', 'NCT04249362', 'NCT04590963', 'NCT04964934', 'NCT05104866']",7,"['NCT03737643', 'NCT03997123']","['NCT04964934', 'NCT05104866']","['NCT03800134', 'NCT04249362', 'NCT04590963']","45.764043, 4.835659",45.764043,4.835659
4,Research Site Montpellier 34070,"['NCT03997123', 'NCT04249362', 'NCT04550260', 'NCT04711252', 'NCT04784715', 'NCT04960709', 'NCT05104866']",7,['NCT03997123'],"['NCT04711252', 'NCT04960709', 'NCT05104866']","['NCT04249362', 'NCT04550260', 'NCT04784715']","43.59685959999999, 3.8502617",43.59685959999999,3.8502617
5,Research Site Dijon 21079,"['NCT03833154', 'NCT04494425', 'NCT04564027', 'NCT04590963', 'NCT04711252', 'NCT04999969', 'NCT05048797']",7,,"['NCT04564027', 'NCT04711252', 'NCT05048797']","['NCT03833154', 'NCT04494425', 'NCT04590963', 'NCT04999969']","47.43765200000001, 5.369123",47.43765200000001,5.369123
6,Research Site Bordeaux 33000,"['NCT03800134', 'NCT04385368', 'NCT04494425', 'NCT04532645', 'NCT04590963', 'NCT05048797']",6,"['NCT03800134', 'NCT04532645']",['NCT05048797'],"['NCT04385368', 'NCT04494425', 'NCT04590963']","44.8350088, -0.5872689999999999",44.8350088,-0.5872689999999999
7,Research Site Villejuif 94805,"['NCT02264678', 'NCT03833154', 'NCT03997123', 'NCT04639219', 'NCT04862663']",5,['NCT03997123'],,"['NCT02264678', 'NCT03833154', 'NCT04639219', 'NCT04862663']","48.792716, 2.359279",48.792716,2.359279
8,Research Site Lille 59000,"['NCT04236414', 'NCT04532645', 'NCT04550260', 'NCT04711252', 'NCT04960709']",5,['NCT04532645'],"['NCT04711252', 'NCT04960709']","['NCT04236414', 'NCT04550260']","50.6138111, 3.0423599",50.6138111,3.0423599
9,Research Site Villejuif 94800,"['NCT03334617', 'NCT03946800', 'NCT04236414', 'NCT05043090', 'NCT05104866']",5,['NCT03946800'],,"['NCT03334617', 'NCT04236414', 'NCT05043090', 'NCT05104866']","48.792716, 2.359279",48.792716,2.359279
10,Research Site Pierre-Bénite 69495,"['NCT04711252', 'NCT04784715', 'NCT03737643', 'NCT04493853', 'NCT04494425']",5,['NCT03737643'],,"['NCT04711252', 'NCT04784715', 'NCT04493853', 'NCT04494425']","45.7030349, 4.821038199999999",45.7030349,4.821038199999999
11,Research Site Toulouse Cedex 9 31059,"['NCT03997123', 'NCT04590963', 'NCT04784715', 'NCT05048797', 'NCT05104866']",5,"['NCT03997123', 'NCT04590963']",['NCT05104866'],"['NCT04784715', 'NCT05048797']","43.604652, 1.444209",43.604652,1.444209
12,Research Site Tours 37000,"['NCT03800134', 'NCT03833154', 'NCT04494425', 'NCT04532645', 'NCT04999969']",5,"['NCT03833154', 'NCT04532645']",['NCT04999969'],"['NCT03800134', 'NCT04494425']","47.3832745, 0.6897966",47.3832745,0.6897966
13,Research Site Plérin 22190,"['NCT03737643', 'NCT04305496', 'NCT04494425', 'NCT04711252', 'NCT05104866']",5,"['NCT03737643', 'NCT04305496']","['NCT04494425', 'NCT04711252']",['NCT05104866'],"48.534928, -2.770404",48.534928,-2.770404
14,Research Site Montpellier 34298,"['NCT03737643', 'NCT04493853', 'NCT04494425', 'NCT04592913', 'NCT04784715']",5,['NCT03737643'],['NCT04784715'],"['NCT04493853', 'NCT04494425', 'NCT04592913']","43.610769, 3.876716",43.610769,3.876716
15,Research Site Nice 06100,"['NCT03800134', 'NCT04493853', 'NCT04494425', 'NCT04592913', 'NCT04999969']",5,,['NCT04999969'],"['NCT03800134', 'NCT04493853', 'NCT04494425', 'NCT04592913']","43.7275796, 7.2598913",43.7275796,7.2598913
16,Research Site Besançon 25000,"['NCT03737643', 'NCT04494425', 'NCT05140382', 'NCT04305496', 'NCT04784715']",5,"['NCT03737643', 'NCT04305496']","['NCT05140382', 'NCT04784715']",['NCT04494425'],"47.2711117, 6.0282445",47.2711117,6.0282445
17,Centre Oscar Lambret Lille 59020,"['NCT03275298', 'NCT03275311', 'NCT03795207', 'NCT03848052', 'NCT04704934']",5,,['NCT03795207'],"['NCT03275298', 'NCT03275311', 'NCT03848052', 'NCT04704934']","50.6125231, 3.0328183",50.6125231,3.0328183
18,Research Site Vandoeuvre les Nancy 54519,"['NCT03737643', 'NCT04564027', 'NCT04784715', 'NCT04960709', 'NCT04999969']",5,['NCT03737643'],"['NCT04564027', 'NCT04960709', 'NCT04999969']",['NCT04784715'],"48.66111799999999, 6.17376",48.66111799999999,6.17376
19,Research Site Marseille 13273,"['NCT03737643', 'NCT04493853', 'NCT04494425', 'NCT04964934']",4,['NCT03737643'],['NCT04964934'],"['NCT04493853', 'NCT04494425']","43.296482, 5.36978",43.296482,5.36978
20,Centre Léon Bérard Lyon 69373,"['NCT03275298', 'NCT03275311', 'NCT03795207', 'NCT03848052']",4,,['NCT03795207'],"['NCT03275298', 'NCT03275311', 'NCT03848052']","45.7411939, 4.8776062",45.7411939,4.8776062
21,Institut Curie Paris 75005,"['NCT03275298', 'NCT03275311', 'NCT03848052', 'NCT03865511']",4,,['NCT03865511'],"['NCT03275298', 'NCT03275311', 'NCT03848052']","48.8409227, 2.343743",48.8409227,2.343743
22,Research Site Lyon 69373,"['NCT03530397', 'NCT04564027', 'NCT04592913', 'NCT05048797']",4,,"['NCT04564027', 'NCT05048797']","['NCT03530397', 'NCT04592913']","45.764043, 4.835659",45.764043,4.835659
23,Institut Claudius Regaud Toulouse 31059,"['NCT03275298', 'NCT03275311', 'NCT03848052', 'NCT04622319']",4,,,"['NCT03275298', 'NCT03275311', 'NCT03848052', 'NCT04622319']","43.5998704, 1.4330246",43.5998704,1.4330246
24,Research Site Poitiers 86021,"['NCT04590963', 'NCT04999969', 'NCT05061134']",3,,['NCT04590963'],['NCT04999969'],"46.559123, 0.045547",46.559123,0.045547
25,Research Site Nantes 44093,"['NCT04590963', 'NCT04592913', 'NCT05048797']",3,,"['NCT04590963', 'NCT05048797']",['NCT04592913'],"47.218371, -1.553621",47.218371,-1.553621
26,Research Site Marseille 13009,"['NCT03997123', 'NCT04249362', 'NCT04532645']",3,"['NCT03997123', 'NCT04532645']",,['NCT04249362'],"43.2290357, 5.4463322",43.2290357,5.4463322
27,Centre Jean Perrin Clermont-ferrand 63011,"['NCT03275298', 'NCT03275311', 'NCT03848052']",3,,,"['NCT03275298', 'NCT03275311', 'NCT03848052']","45.7582902, 3.0926694",45.7582902,3.0926694
28,Centre Paul Strauss Strasbourg 67065,"['NCT03275298', 'NCT03275311', 'NCT03848052']",3,,,"['NCT03275298', 'NCT03275311', 'NCT03848052']","48.576671, 7.750651",48.576671,7.750651
