,area,Ensemble des laboratoires,AstraZeneca,Taux d occupation AstraZeneca sur une région,code
0,Île-de-France,159,4,0.025157232704402517,11
1,Auvergne-Rhône-Alpes,113,9,0.07964601769911504,84
2,Pays de la Loire,75,4,0.05333333333333334,52
3,Provence-Alpes-Côte d'Azur,75,6,0.08,93
4,Nouvelle-Aquitaine,66,5,0.07575757575757576,75
5,Grand Est,54,4,0.07407407407407407,44
6,Bretagne,44,5,0.11363636363636363,53
7,Hauts-de-France,44,4,0.09090909090909091,32
8,Occitanie,43,1,0.023255813953488372,76
9,Normandie,36,1,0.027777777777777776,28
10,Bourgogne-Franche-Comté,20,1,0.05,27
11,Centre-Val de Loire,14,1,0.07142857142857142,24
12,toto,0,0,0,94
